År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,96,3100,1056,97,249,9942,4598,14541
1991,119,3047,1056,109,249,7614,4579,12193
1992,142,2969,1056,120,249,7814,4536,12350
1993,194,2818,1170,179,249,7280,4611,11890
1994,174,2720,1321,279,249,8770,4743,13512
1995,214,2721,1176,268,249,8310,4627,12937
1996,273,2617,1156,284,249,4457,4578,9035
1997,283,2612,1101,197,249,5670,4441,10111
1998,317,2607,1393,139,249,5821,4704,10525
1999,322,2601,879,122,249,6692,4174,10866
2000,339,2596,873,135,249,7889,4191,12081
2001,289,2606,980,188,249,6294,4311,10605
2002,316,2485,941,193,249,5733,4185,9918
2003,444,2483,973,172,249,5573,4322,9895
2004,352,2483,992,128,249,5965,4203,10169
2005,433,2561,950,111,249,5642,4304,9946
2006,390,2557,1095,116,249,6232,4406,10638
2007,497,2583,1053,80,249,6209,4461,10670
2008,478,2582,1083,74,249,7417,4465,11882
2009,505,2555,1117,75,249,6359,4500,10859
2010,371,2563,1138,76,249,4725,4397,9122
2011,553,2564,1061,101,249,6278,4527,10804
2012,638,2573,1101,112,249,6259,4672,10931
2013,594,2393,1139,96,451,5985,4672,10657
2014,694,2435,1058,103,652,8288,4942,13230
2015,733,2431,1189,112,586,7524,5051,12575
2016,749,2425,1221,84,459,6007,4939,10946
2017,524,2437,1273,270,494,6423,4999,11422
2018,801,2513,1116,84,475,6216,4989,11206
2019,587,2486,1130,65,474,6152,4742,10894
2020,916,2381,1341,130,646,8044,5414,13458
2021,422,2385,1287,78,391,5197,4563,9760
2022,981,2320,1304,75,401,5283,5080,10363
2023,478,2296,1101,80,541,6912,4496,11409
