År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,20,55,62,8,21,103,166,269
1991,25,54,62,8,21,80,170,250
1992,30,52,62,7,21,82,172,254
1993,42,47,106,37,21,76,252,328
1994,37,45,60,7,21,91,170,261
1995,46,45,74,9,21,86,195,282
1996,58,40,81,8,21,38,208,246
1997,60,40,81,7,21,48,210,258
1998,68,40,60,11,21,49,200,249
1999,68,40,45,8,21,56,182,239
2000,68,41,46,5,21,66,180,246
2001,58,46,53,6,21,53,183,236
2002,62,40,37,6,21,49,166,214
2003,88,40,36,10,21,47,195,242
2004,69,40,31,13,21,50,174,224
2005,86,43,26,12,21,48,188,236
2006,83,43,31,11,21,52,189,241
2007,97,45,28,10,21,53,201,254
2008,89,45,28,9,21,62,192,254
2009,94,43,31,10,21,53,198,251
2010,69,43,30,8,21,40,171,211
2011,96,43,32,10,21,53,203,256
2012,111,44,29,10,21,53,216,269
2013,103,43,31,8,29,50,215,265
2014,121,43,34,13,43,70,253,323
2015,128,43,39,9,38,64,255,319
2016,130,43,33,11,30,50,246,297
2017,91,43,39,18,32,54,222,276
2018,140,42,32,18,31,53,262,315
2019,102,42,37,19,31,52,231,283
2020,160,42,38,20,42,68,302,370
2021,73,42,34,13,25,44,189,232
2022,171,42,32,14,26,44,285,330
2023,83,42,32,15,35,59,207,266
