År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,147,60,298,0,39,6727,545,7271
1991,132,60,298,0,39,6786,529,7316
1992,116,60,298,0,39,8336,514,8850
1993,156,60,344,0,39,7461,600,8061
1994,114,60,703,0,39,5813,917,6730
1995,159,60,923,0,39,7043,1182,8226
1996,153,60,914,1,39,5145,1167,6313
1997,291,60,899,1,39,5209,1290,6499
1998,439,60,806,0,39,4642,1345,5987
1999,469,60,799,0,39,4385,1368,5753
2000,751,60,761,0,39,5388,1611,6999
2001,1309,99,677,0,39,4214,2124,6337
2002,1569,98,592,0,39,4486,2298,6785
2003,1802,98,614,0,39,4523,2554,7077
2004,1483,98,620,0,39,4278,2241,6519
2005,1195,98,547,0,39,5033,1879,6912
2006,1189,98,546,0,39,4132,1872,6004
2007,1344,98,575,0,39,4942,2056,6998
2008,1463,98,573,0,39,4147,2173,6320
2009,2319,98,582,0,39,3938,3038,6976
2010,2392,97,571,0,39,4139,3099,7238
2011,2766,97,570,0,39,4567,3473,8040
2012,3542,99,574,0,39,4119,4255,8374
2013,4013,163,302,0,82,4353,4560,8913
2014,3907,158,293,0,84,4455,4442,8897
2015,3749,149,294,0,79,4285,4271,8555
2016,3713,150,261,0,78,4170,4201,8371
2017,4452,156,293,0,105,5658,5005,10663
2018,4169,157,423,86,80,4440,4916,9355
2019,5042,151,449,10,85,4617,5737,10354
2020,5211,154,405,8,107,5916,5885,11801
2021,5700,152,386,7,89,4754,6334,11088
2022,4917,146,418,7,100,5684,5587,11271
2023,5247,147,343,4,76,4543,5817,10360
