År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,0,2995,5428,7687,2106,110043,18217,128260
2014,0,3037,6889,5831,2845,133145,18602,151747
2015,0,2896,6921,5607,2679,124548,18103,142650
2016,0,3171,5925,5255,1965,98586,16316,114902
2017,0,2993,5708,5929,2096,108314,16726,125040
2018,0,3220,4897,5197,2332,121091,15647,136738
2019,0,2692,5502,4566,2782,127303,15542,142844
2020,0,2860,5315,4732,3113,140468,16020,156488
2021,0,2792,4313,4506,2386,113005,13997,127003
2022,0,3645,3895,4291,1892,103476,13723,117199
2023,0,1855,5329,3638,3170,145259,13992,159251
