År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,12445,4884,394,797,7680,18520,26200
1991,0,12181,4884,469,797,6585,18330,24915
1992,0,11807,4884,235,797,7006,17723,24729
1993,0,11092,6079,256,797,7933,18224,26157
1994,0,10624,4435,313,797,7805,16169,23975
1995,0,10610,6488,348,797,7978,18243,26220
1996,0,10154,5611,149,797,5176,16711,21887
1997,0,10024,5440,193,797,6088,16454,22542
1998,0,9895,5166,186,797,6331,16044,22375
1999,0,9767,5035,247,797,6863,15846,22709
2000,0,9637,4515,289,797,7440,15237,22677
2001,0,9550,4224,327,797,6473,14899,21372
2002,0,9183,3472,336,797,5959,13788,19747
2003,0,9292,3660,273,797,5677,14022,19699
2004,0,9220,3574,368,797,5744,13958,19703
2005,0,8878,3574,285,797,5820,13533,19354
2006,0,9494,4024,304,797,6369,14620,20989
2007,0,9398,4063,278,797,6544,14536,21080
2008,0,9308,4043,357,797,7034,14504,21538
2009,0,9302,4163,313,797,6354,14575,20929
2010,0,9383,4016,303,797,5855,14498,20353
2011,0,9292,4310,283,797,6322,14683,21005
2012,0,9641,4300,333,797,6297,15071,21367
2013,0,9487,4524,348,699,5780,15057,20837
2014,0,9373,4858,332,932,6748,15495,22243
2015,0,9204,5153,306,875,6319,15538,21857
2016,0,9331,5295,340,646,5191,15613,20804
2017,0,9591,5423,388,695,5693,16097,21791
2018,0,10381,4951,286,775,6367,16394,22761
2019,0,10298,5181,272,910,6547,16661,23207
2020,0,9573,4990,223,1019,7090,15805,22895
2021,0,9378,4657,195,783,5837,15012,20849
2022,0,9202,4536,179,632,5436,14549,19985
2023,0,9005,4547,170,1040,7255,14762,22017
