År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,19007,7305,2244,1391,13524,29946,43470
1991,0,18610,7305,2141,1391,11359,29447,40806
1992,0,18048,7305,3053,1391,11966,29797,41763
1993,0,16969,8561,3065,1391,13388,29986,43374
1994,0,16265,6889,1777,1391,13853,26322,40175
1995,0,16247,9254,1737,1391,14096,28629,42726
1996,0,15511,8119,1632,1391,8835,26653,35488
1997,0,15309,7841,1665,1391,10555,26206,36762
1998,0,15108,7660,1376,1391,11324,25534,36859
1999,0,14908,7392,1268,1391,12194,24959,37154
2000,0,14706,6725,1356,1391,13424,24178,37602
2001,0,14480,6641,1310,1391,12449,23822,36271
2002,0,13944,5534,1178,1391,10748,22048,32796
2003,0,14066,5840,1177,1391,10481,22474,32955
2004,0,13997,5788,1272,1391,10771,22448,33220
2005,0,13786,5968,1142,1391,10255,22287,32542
2006,0,14396,6453,1123,1391,11176,23363,34539
2007,0,14309,6488,1172,1391,11993,23361,35354
2008,0,14193,6505,1235,1391,12888,23323,36212
2009,0,14189,6778,970,1391,11541,23328,34869
2010,0,14296,6527,1412,1391,10674,23626,34300
2011,0,14175,6824,1232,1391,11527,23622,35148
2012,0,14591,6872,958,1391,11307,23813,35120
2013,0,14217,7141,973,1288,11083,23619,34702
2014,0,14131,7571,1022,1667,12905,24390,37296
2015,0,13840,7871,989,1532,11955,24233,36188
2016,0,13999,8175,908,1142,9843,24223,34066
2017,0,14443,8673,978,1206,10476,25300,35777
2018,0,15571,7801,1005,1370,11774,25746,37521
2019,0,15415,8122,962,1549,12012,26047,38059
2020,0,14375,7968,936,1746,13444,25025,38469
2021,0,14243,7590,927,1363,10984,24123,35107
2022,0,14068,7583,868,1049,9560,23567,33127
2023,0,13761,7494,859,1814,13874,23927,37801
