År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,0,172,2185,57,677,5909,3091,9000
2014,0,162,3224,47,1038,8689,4472,13161
2015,0,162,2859,46,995,8401,4062,12463
2016,0,189,2347,51,701,6136,3288,9424
2017,0,179,2354,49,672,5869,3254,9123
2018,0,178,1972,58,722,6304,2931,9234
2019,0,152,2209,40,1078,9118,3479,12597
2020,0,167,2524,11,1256,10550,3958,14508
2021,0,153,1775,8,933,8008,2870,10878
2022,0,129,1425,12,572,5120,2138,7259
2023,0,95,2210,20,1208,10073,3532,13605
