År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,80100,31889,12560,2181,8122,195789,134852,330641
2014,85323,31905,12213,2179,8713,224626,140333,364959
2015,88066,31908,10405,2315,10843,270739,143537,414277
2016,88783,31954,10657,2430,8509,214659,142333,356992
2017,86751,31915,9585,2318,9853,234711,140422,375132
2018,84675,31884,8998,2452,9126,228729,137135,365863
2019,92311,31865,8089,2412,7442,184828,142118,326946
2020,97702,31896,8585,2513,9984,260742,150680,411422
2021,94176,31942,8142,2137,6857,175237,143255,318492
2022,97649,31950,7758,2042,7945,209844,147345,357188
2023,92701,31959,8472,2123,8168,208087,143423,351510
