År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,2564,7407,3444,614,392,30293,14420,44713
1991,2419,7388,3444,543,392,22547,14186,36733
1992,2275,7360,3444,494,392,26580,13965,40545
1993,3075,7307,3974,358,392,21508,15107,36614
1994,3784,7273,4387,554,392,23009,16390,39399
1995,4921,7273,5386,520,392,24287,18492,42779
1996,5612,7193,4317,376,392,11126,17889,29016
1997,5981,7196,4240,379,392,15706,18187,33893
1998,6674,7199,4764,343,392,14692,19372,34064
1999,6872,7203,4489,389,392,16512,19344,35856
2000,8647,7206,4268,417,392,17738,20930,38669
2001,7661,14106,4030,508,392,12347,26697,39044
2002,7330,14044,3394,560,392,13934,25720,39653
2003,8269,14037,3558,466,392,13489,26722,40212
2004,8755,14082,3564,474,392,14617,27266,41883
2005,9094,14141,3395,450,392,17908,27471,45379
2006,10168,14131,3656,421,392,14440,28767,43207
2007,12549,14161,3727,419,392,17772,31248,49020
2008,13246,14176,3654,365,392,16777,31833,48610
2009,14820,14188,3884,429,392,14927,33713,48640
2010,14344,14228,3897,415,392,11276,33276,44552
2011,16269,14298,3932,413,392,16488,35303,51791
2012,17718,14127,3934,419,392,16561,36590,53150
2013,16633,14553,4020,461,2394,14086,38061,52147
2014,17717,14672,4013,419,2579,16137,39400,55537
2015,18287,14515,4310,435,3205,18981,40751,59732
2016,18436,14498,4154,427,2515,15400,40030,55430
2017,18014,14496,4158,603,2909,16670,40180,56850
2018,17582,14611,3974,483,2697,16283,39348,55631
2019,19168,14524,3945,456,2197,13311,40289,53600
2020,20288,14271,4504,485,2957,18432,42504,60936
2021,19555,14152,3859,428,2027,12741,40022,52763
2022,20277,13960,4000,461,2351,15015,41049,56064
2023,19249,13865,4725,444,2415,14829,40699,55528
