År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,1131,1299,931,0,260,7189,3620,10810
1991,1046,1299,931,0,260,5424,3535,8960
1992,961,1299,931,0,260,6446,3450,9896
1993,1261,1299,1227,0,260,5789,4047,9836
1994,1848,1299,1149,1,260,5376,4557,9933
1995,2178,1299,1528,1,260,6413,5265,11678
1996,2372,1273,1369,1,260,3106,5275,8381
1997,2704,1273,1370,3,260,4912,5609,10521
1998,3078,1273,1228,3,260,4106,5841,9948
1999,3098,1273,1223,4,260,3607,5858,9465
2000,3202,1273,1188,5,260,4477,5928,10405
2001,533,3954,1028,11,260,3026,5785,8811
2002,2880,3954,1100,10,260,3704,8203,11908
2003,3622,3955,1066,14,260,3430,8917,12347
2004,3426,3953,981,23,260,3937,8642,12579
2005,3423,3949,949,26,260,4575,8606,13181
2006,4528,3949,990,2,260,3549,9730,13279
2007,4721,3945,995,3,260,4582,9923,14505
2008,4508,3944,1006,24,260,4390,9742,14133
2009,5112,3945,1002,37,260,3705,10356,14061
2010,5400,3945,1005,31,260,3178,10642,13820
2011,5818,3984,991,41,260,4156,11093,15249
2012,5851,3951,973,53,260,4343,11088,15430
2013,6361,3910,1027,44,643,3270,11984,15254
2014,5666,3899,1043,67,552,2849,11226,14074
2015,7415,3764,1067,76,780,3544,13102,16646
2016,4792,3716,1087,62,736,3590,10393,13983
2017,7268,3786,1073,51,893,4476,13070,17546
2018,5414,3918,1071,65,768,3850,11235,15085
2019,6960,3955,1097,81,802,4097,12894,16991
2020,6373,3897,1118,46,1108,5218,12542,17759
2021,7897,3855,1047,41,747,3693,13587,17280
2022,6370,3820,1112,49,1028,5035,12378,17413
2023,8100,3770,1084,35,850,4025,13840,17865
