År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,45059,9943,2773,51,1878,82694,59703,142397
2014,48990,9942,2758,44,1871,81074,63605,144679
2015,49392,9927,2270,220,2304,102620,64113,166733
2016,48348,9928,2429,285,1699,73074,62689,135763
2017,54917,9917,2292,298,2275,98274,69699,167973
2018,54186,9923,2217,263,1807,77998,68395,146393
2019,63083,9913,2187,286,1955,83018,77424,160441
2020,66767,9933,2106,383,2779,113556,81967,195523
2021,70611,9927,2087,303,1835,72858,84762,157620
2022,70328,9920,2223,1602,2565,107603,86638,194241
2023,71767,9914,2198,376,1943,78215,86199,164414
