År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,1395,1484,382,860,55,11133,4176,15309
1991,1290,1484,382,814,55,9396,4025,13421
1992,1185,1484,382,650,55,10808,3755,14564
1993,1066,1484,430,569,55,9702,3604,13306
1994,1751,1484,965,537,55,8213,4792,13005
1995,2240,1484,1479,547,55,11001,5806,16807
1996,2676,1435,1393,650,55,6038,6208,12246
1997,3054,1435,1357,672,55,7986,6573,14559
1998,3381,1435,1185,533,55,6404,6589,12993
1999,3108,1435,1188,449,55,5485,6235,11720
2000,3075,1435,1061,569,55,6694,6195,12889
2001,3936,2642,970,478,55,4746,8081,12827
2002,3483,2639,918,683,55,6399,7778,14177
2003,4090,2644,924,722,55,6059,8435,14494
2004,4346,2642,916,686,55,6154,8646,14799
2005,5487,2637,935,544,55,7794,9658,17452
2006,5810,2648,970,566,55,5805,10048,15853
2007,6354,2645,1007,665,55,7106,10726,17831
2008,7199,2644,1028,668,55,5643,11593,17236
2009,8218,2644,1010,559,55,6424,12486,18910
2010,7878,2642,1000,610,55,4798,12184,16982
2011,8376,2636,1009,646,55,7417,12722,20139
2012,9343,2639,1007,569,55,5848,13612,19460
2013,9356,3339,1039,489,543,5971,14766,20737
2014,10173,3368,1056,529,541,6040,15667,21707
2015,10256,3315,1078,546,667,7294,15862,23156
2016,10039,3271,1124,482,491,5325,15407,20733
2017,11403,3320,1114,486,658,7084,16981,24066
2018,11252,3358,1158,460,523,5674,16750,22424
2019,13099,3360,1167,479,566,6020,18671,24691
2020,13864,3309,1176,488,803,8054,19641,27695
2021,14662,3239,1204,495,530,5332,20130,25461
2022,14603,3190,1242,1147,742,7683,20924,28607
2023,14902,3224,1206,387,561,5698,20280,25979
