År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,1380,1285,1004,235,183,1835,4088,5923
1991,1300,1265,1004,237,183,1504,3988,5492
1992,1219,1227,1004,202,183,1721,3835,5556
1993,1514,1156,1277,257,183,1584,4386,5970
1994,2013,1130,1210,217,183,1469,4753,6222
1995,2569,1122,1567,214,183,1673,5655,7328
1996,2963,1032,1377,168,183,841,5723,6564
1997,3354,1025,1395,201,183,1102,6158,7260
1998,3770,1018,1322,211,183,970,6505,7475
1999,3754,1013,1221,181,183,947,6351,7298
2000,3843,1007,1105,176,183,1104,6314,7418
2001,3566,1228,1055,171,183,838,6203,7041
2002,3917,1197,1200,182,183,937,6678,7615
2003,4743,1195,1194,184,183,911,7499,8410
2004,4683,1183,1146,234,183,944,7429,8372
2005,5179,1184,1148,206,183,1088,7900,8988
2006,6598,1198,1168,209,183,915,9355,10270
2007,6869,1183,1173,220,183,1074,9628,10701
2008,6813,1161,1171,311,183,974,9638,10612
2009,7744,1140,1169,233,183,946,10470,11416
2010,7725,1142,1128,243,183,796,10420,11216
2011,8037,1119,1210,223,183,1033,10772,11805
2012,8972,1181,1126,238,183,980,11700,12680
2013,8788,1288,1194,225,410,888,11907,12795
2014,9529,1291,1216,225,446,938,12708,13646
2015,9497,1282,1177,223,514,1049,12694,13743
2016,9329,1307,1282,220,412,882,12550,13432
2017,9915,1297,1236,274,486,1057,13207,14264
2018,9951,1309,1258,220,443,936,13181,14117
2019,10547,1268,1252,199,435,934,13700,14634
2020,11352,1278,1249,209,565,1210,14654,15864
2021,11637,1276,1241,187,399,884,14741,15624
2022,11378,1299,1246,244,456,1079,14623,15701
2023,11718,1189,1214,183,473,976,14778,15753
