År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,103870,22734,10988,2463,4900,344629,144955,489584
2014,116108,22757,9648,2493,4262,290692,155268,445960
2015,111642,22824,9524,2728,5884,408511,152602,561113
2016,106321,22953,7777,3072,5143,346802,145266,492069
2017,116198,22882,6754,3610,6541,455912,155985,611897
2018,122465,22822,6764,3874,5281,355080,161207,516287
2019,126595,22662,7170,4158,5656,383047,166241,549288
2020,135250,22648,6871,3854,7561,502356,176184,678541
2021,142193,22619,6705,3420,5380,365792,180316,546108
2022,134633,22586,6620,4131,7343,501026,175312,676339
2023,144006,22411,7711,3096,5773,379722,182996,562718
