År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,639,239,327,77,46,639,1328,1967
1991,593,239,327,66,46,520,1271,1791
1992,548,239,327,64,46,606,1223,1829
1993,661,239,411,56,46,563,1412,1975
1994,971,239,384,45,46,491,1684,2175
1995,1193,239,546,46,46,614,2070,2684
1996,1390,233,479,54,46,292,2201,2493
1997,1644,233,485,78,46,426,2485,2910
1998,1795,233,450,60,46,357,2583,2940
1999,1713,233,428,66,46,306,2485,2791
2000,1592,233,362,63,46,367,2295,2662
2001,1216,363,377,51,46,281,2054,2334
2002,1640,361,406,67,46,334,2519,2854
2003,2105,357,397,64,46,318,2968,3286
2004,2050,353,376,78,46,347,2902,3249
2005,2255,348,367,55,46,399,3071,3470
2006,3118,350,381,84,46,318,3979,4296
2007,3093,345,384,82,46,373,3950,4323
2008,2961,346,389,151,46,338,3892,4230
2009,3333,342,375,76,46,345,4173,4518
2010,3407,343,344,66,46,276,4206,4482
2011,3491,344,393,68,46,386,4342,4728
2012,3865,347,355,81,46,363,4694,5057
2013,3756,354,409,82,104,311,4705,5016
2014,4198,355,403,99,90,281,5146,5426
2015,4037,357,410,91,125,362,5019,5382
2016,3844,361,439,94,109,306,4847,5153
2017,4201,359,394,147,139,401,5240,5641
2018,4428,358,390,85,112,318,5373,5691
2019,4577,353,405,85,120,341,5541,5882
2020,4890,352,399,91,160,440,5893,6333
2021,5141,352,424,72,114,321,6103,6424
2022,4868,350,428,73,156,438,5875,6313
2023,5207,346,409,66,122,333,6150,6483
