År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,15088,11209,4787,1454,2310,36271,34848,71119
2014,15650,11219,4439,1445,2524,42292,35277,77568
2015,16360,11225,3809,1366,2876,50196,35636,85832
2016,17406,11268,4618,1395,2171,39180,36859,76040
2017,15993,11238,4828,1281,2750,46526,36090,82616
2018,15917,11216,4178,1427,2482,41699,35220,76919
2019,19163,11206,3392,1469,1966,33636,37196,70832
2020,18313,11231,3918,1389,2803,51558,37654,89212
2021,21722,11270,3666,1304,1981,34803,39944,74747
2022,19526,11278,3058,1238,2092,39333,37192,76525
2023,21165,11285,3288,1328,2343,39162,39410,78571
