År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,410,4642,1538,369,234,5170,7193,12364
1991,325,4642,1538,369,234,4278,7109,11388
1992,241,4642,1538,369,234,5031,7025,12056
1993,340,4642,1773,184,234,4056,7174,11230
1994,474,4642,2094,350,234,4393,7795,12188
1995,542,4642,2845,329,234,4433,8592,13025
1996,644,4469,2155,350,234,2596,7853,10449
1997,747,4469,2134,359,234,3379,7943,11322
1998,973,4469,1732,331,234,3268,7739,11007
1999,1008,4469,1888,343,234,3563,7942,11505
2000,2241,4469,1797,322,234,3808,9064,12872
2001,1196,5869,1897,325,234,2945,9522,12467
2002,1303,5845,1375,371,234,3246,9128,12374
2003,1341,5840,1493,320,234,3075,9229,12303
2004,1718,5850,1509,294,234,3334,9605,12938
2005,1923,5878,1285,280,234,3755,9601,13356
2006,1874,5885,1436,256,234,3207,9685,12892
2007,2367,5894,1461,284,234,3853,10241,14094
2008,2666,5899,1395,220,234,3863,10415,14278
2009,3086,5907,1519,281,234,3461,11028,14489
2010,3002,5927,1560,287,234,2681,11011,13692
2011,3045,5971,1549,261,234,3552,11060,14612
2012,3266,5908,1533,199,234,3770,11141,14911
2013,3133,6093,1605,223,676,3194,11730,14923
2014,3250,6158,1594,226,740,3683,11967,15650
2015,3397,6032,1671,229,844,4250,12173,16424
2016,3614,5989,1701,215,637,3408,12156,15564
2017,3321,5994,1681,196,806,3941,11999,15939
2018,3305,6039,1491,266,727,3592,11828,15420
2019,3979,5998,1462,260,576,2966,12276,15242
2020,3803,5879,1721,257,823,4344,12482,16826
2021,4511,5770,1406,235,580,3042,12502,15544
2022,4055,5621,1424,253,614,3375,11966,15341
2023,4395,5578,1911,255,687,3356,12826,16182
