År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,162804,28298,14429,2520,6517,482987,214568,697555
2014,178088,28316,13064,2594,5965,437824,228027,665851
2015,174390,28381,12069,2851,7687,553841,225378,779219
2016,169126,28503,10441,3285,6596,475926,217952,693878
2017,187323,28443,9146,3790,8503,622650,237206,859856
2018,190375,28368,9406,3988,6808,487154,238946,726101
2019,199176,28205,10329,4229,7426,529315,249364,778679
2020,216202,28193,9718,4288,10160,701380,268561,969941
2021,227512,28156,9289,3775,7135,512749,275867,788616
2022,216937,28127,9074,5821,9663,685605,269622,955228
2023,231290,27950,10394,3547,7663,529858,280844,810702
