År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,163,8647,10339,9080,4883,252523,33111,285634
2014,142,8691,11780,7323,6563,319943,34499,354442
2015,216,8463,11807,7169,5922,287430,33577,321007
2016,121,8882,10651,7113,4465,228910,31233,260143
2017,160,8699,10201,7696,4714,245723,31471,277194
2018,173,8991,8897,7041,5151,265792,30252,296044
2019,221,8201,9555,6289,5830,280274,30095,310369
2020,80,8406,8787,6418,6741,324659,30431,355090
2021,181,8330,7547,5973,5007,245033,27037,272070
2022,101,9377,7255,5339,4024,217970,26095,244065
2023,99,6939,9063,5159,6715,323731,27975,351706
