År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,10,20896,8212,2293,1718,19632,33129,52761
1991,13,20464,8212,2200,1718,16072,32606,48678
1992,15,19852,8212,3131,1718,16634,32928,49562
1993,21,18676,9540,3153,1718,17838,33107,50944
1994,18,17907,8044,1934,1718,19457,29622,49079
1995,23,17891,10188,1898,1718,19305,31718,51023
1996,29,17091,9084,1890,1718,11738,29811,41548
1997,30,16880,8764,1842,1718,14104,29234,43338
1998,26,16671,8559,1503,1718,15114,28476,43590
1999,22,16463,8149,1344,1718,16519,27695,44215
2000,36,16252,7449,1396,1718,18535,26850,45385
2001,0,15908,7459,1358,1718,16700,26443,43143
2002,16,15288,6360,1224,1718,14382,24606,38988
2003,26,15408,6674,1243,1718,14124,25069,39193
2004,24,15338,6653,1308,1718,14598,25041,39639
2005,19,15183,6810,1165,1718,13639,24894,38534
2006,31,15790,7423,1147,1718,15228,26108,41336
2007,32,15721,7414,1188,1718,15791,26073,41864
2008,31,15602,7456,1250,1718,17598,26057,43655
2009,28,15579,7769,981,1718,15691,26075,41766
2010,5,15690,7519,1423,1718,13803,26355,40158
2011,17,15568,7757,1243,1718,15481,26303,41784
2012,23,15998,7831,972,1718,15160,26541,41701
2013,34,15515,8147,985,1596,14907,26276,41183
2014,29,15460,8468,1035,2126,18361,27119,45480
2015,45,15170,8900,1006,1920,16590,27040,43631
2016,25,15323,9231,925,1456,13648,26959,40607
2017,33,15777,9779,987,1541,14539,28117,42657
2018,36,16955,8757,1015,1688,15654,28452,44106
2019,46,16787,9091,970,1889,16162,28783,44945
2020,17,15680,9136,945,2193,18627,27971,46598
2021,38,15549,8720,939,1630,14291,26876,41167
2022,21,15332,8744,880,1323,12910,26300,39210
2023,21,15009,8435,870,2186,18326,26521,44847
