År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,2,788,295,93,104,231,1282,1513
1991,3,768,295,106,104,198,1276,1474
1992,3,731,295,73,104,203,1206,1409
1993,4,661,402,97,104,215,1269,1484
1994,4,636,251,99,104,230,1094,1324
1995,5,628,331,101,104,228,1169,1397
1996,6,571,330,69,104,132,1080,1212
1997,6,564,332,77,104,150,1084,1234
1998,6,557,265,107,104,158,1040,1198
1999,5,551,226,71,104,169,957,1127
2000,7,545,187,71,104,185,914,1099
2001,0,524,204,75,104,172,908,1079
2002,3,496,174,65,104,154,842,996
2003,5,499,178,73,104,152,859,1011
2004,5,491,160,82,104,155,843,998
2005,4,495,166,82,104,146,851,998
2006,7,505,175,61,104,159,852,1011
2007,6,496,160,63,104,163,829,992
2008,6,473,164,69,104,179,817,996
2009,5,457,161,62,104,164,790,954
2010,1,458,163,61,104,149,788,937
2011,3,435,177,57,104,163,776,939
2012,4,492,166,52,104,160,819,980
2013,6,549,169,51,101,155,875,1031
2014,5,551,190,33,136,190,915,1105
2015,8,540,202,35,122,173,906,1080
2016,4,559,189,29,92,141,874,1015
2017,6,553,195,36,97,151,887,1038
2018,6,566,162,34,106,164,874,1038
2019,8,531,182,27,120,170,868,1037
2020,3,541,173,29,139,195,884,1080
2021,7,538,140,26,103,152,813,965
2022,4,562,142,22,83,136,813,949
2023,4,457,144,18,138,196,761,957
