År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
2013,25128,2326,1737,99,745,59356,30034,89391
2014,27180,2321,1708,145,802,65303,32156,97459
2015,29582,2326,1113,184,812,63643,34017,97660
2016,30919,2320,1168,248,663,54636,35318,89954
2017,34286,2333,1120,285,852,65091,38876,103967
2018,32449,2316,1302,167,670,51368,36905,88273
2019,32060,2314,1810,85,795,60148,37063,97211
2020,34599,2314,1567,264,1180,85240,39924,125165
2021,39110,2311,1342,252,805,61114,43821,104935
2022,37242,2314,1252,409,1030,77727,42247,119974
2023,40941,2312,1356,344,877,65371,45830,111201
