År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,841,4028,1628,106,145,12890,6747,19638
1991,792,4028,1628,108,145,10337,6700,17037
1992,742,4028,1628,86,145,12157,6629,18786
1993,1049,4028,2052,115,145,11800,7389,19189
1994,1421,4028,1466,113,145,10246,7174,17420
1995,1776,4028,1957,93,145,12446,7999,20445
1996,2222,3982,1867,72,145,6496,8287,14783
1997,2804,3982,1852,79,145,10157,8862,19019
1998,3017,3982,1742,163,145,8798,9049,17847
1999,2635,3982,1688,189,145,7305,8639,15944
2000,2368,3982,1516,194,145,8543,8205,16748
2001,2499,6003,1270,150,145,7027,10067,17094
2002,2884,5948,1246,254,145,7555,10477,18032
2003,3936,5949,1332,184,145,7452,11545,18997
2004,3720,5936,1382,118,145,8317,11300,19617
2005,4417,6020,1312,176,145,9363,12068,21431
2006,6081,6033,1332,195,145,7664,13784,21448
2007,6804,6003,1386,238,145,8384,14576,22959
2008,6669,6012,1379,209,145,7546,14414,21960
2009,7654,5996,1461,255,145,8151,15511,23662
2010,7976,6011,1422,614,145,6341,16168,22509
2011,9011,6028,1438,238,145,8954,16859,25813
2012,10106,6023,1430,169,145,9118,17872,26990
2013,8858,6037,1455,559,415,7389,17325,24713
2014,11590,6007,1518,296,329,6088,19739,25827
2015,8650,5845,1528,333,478,8732,16835,25566
2016,10155,5885,1547,394,425,7321,18406,25727
2017,8655,6006,1469,396,577,9770,17103,26874
2018,11958,6165,1423,485,419,7392,20450,27841
2019,9600,6012,1490,530,483,8091,18115,26206
2020,12262,5880,1539,579,597,10322,20858,31180
2021,10862,5880,1532,404,480,8039,19157,27196
2022,11423,5734,1480,372,649,10639,19658,30296
2023,11275,5613,1446,306,491,8009,19131,27140
