År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,179,162,179,11,12,244,544,788
1991,168,162,179,11,12,200,532,732
1992,158,162,179,23,12,232,534,767
1993,223,162,213,25,12,227,636,864
1994,302,162,158,25,12,198,660,858
1995,378,162,219,22,12,237,793,1030
1996,473,163,197,23,12,114,869,983
1997,596,163,201,25,12,172,998,1170
1998,643,163,202,17,12,150,1037,1187
1999,564,163,176,28,12,126,944,1071
2000,479,163,126,29,12,147,810,957
2001,502,217,171,21,12,125,923,1048
2002,575,214,166,25,12,134,993,1127
2003,788,211,160,16,12,132,1188,1320
2004,745,207,152,16,12,147,1133,1280
2005,881,202,146,19,12,160,1261,1421
2006,1295,204,147,22,12,133,1681,1814
2007,1329,199,152,26,12,144,1718,1862
2008,1246,200,156,97,12,135,1711,1846
2009,1422,196,142,31,12,144,1803,1947
2010,1468,197,136,24,12,115,1838,1953
2011,1569,199,151,22,12,156,1954,2110
2012,1763,201,144,24,12,159,2144,2303
2013,1542,198,167,31,29,129,1969,2097
2014,2018,199,160,35,23,106,2435,2542
2015,1506,201,172,40,34,150,1953,2103
2016,1768,204,193,56,30,128,2251,2379
2017,1507,203,151,50,41,171,1952,2123
2018,2082,202,158,55,30,129,2527,2657
2019,1672,199,160,55,34,143,2120,2262
2020,2135,197,164,56,42,183,2594,2776
2021,1891,197,176,47,34,143,2345,2487
2022,1989,195,176,43,46,187,2450,2637
2023,1963,191,179,39,35,143,2407,2550
