År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
1990,0,278,93,22,38,66,431,497
1991,0,272,93,22,38,58,425,483
1992,0,259,93,31,38,59,421,480
1993,0,234,133,54,38,64,459,522
1994,0,226,81,39,38,69,384,453
1995,0,224,111,49,38,69,422,491
1996,0,200,92,40,38,41,370,411
1997,0,198,93,43,38,46,371,417
1998,0,195,84,33,38,50,351,401
1999,0,194,73,18,38,53,322,375
2000,0,192,58,27,38,57,315,371
2001,0,185,61,29,38,58,314,372
2002,0,177,54,20,38,50,289,339
2003,0,178,59,22,38,50,297,347
2004,0,181,53,23,38,52,295,347
2005,0,186,59,27,38,46,310,355
2006,0,184,56,11,38,49,289,338
2007,0,189,51,11,38,53,289,342
2008,0,187,58,11,38,57,294,351
2009,0,183,56,9,38,53,286,339
2010,0,184,54,10,38,51,286,336
2011,0,180,56,12,38,53,286,339
2012,0,196,54,11,38,52,299,351
2013,0,206,55,9,38,53,307,360
2014,0,206,58,9,47,62,320,382
2015,0,202,61,11,42,57,316,373
2016,0,209,62,8,32,46,311,357
2017,0,209,54,8,33,47,304,352
2018,0,212,50,10,38,54,310,364
2019,0,203,51,10,41,56,306,361
2020,0,203,49,10,46,64,309,373
2021,0,203,43,10,37,52,293,346
2022,0,206,45,9,27,41,286,327
2023,0,186,42,8,49,68,285,353
