Par,Vassom,År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
c,1,2013,0.0,6.878349813999945,222.27197292862712,444.0,63.091985203287145,7219.425502883805,736.2423079459141,7955.667810829719
c,1,2014,0.0,8.548773136379124,247.72724173802192,553.6,94.14096551821432,10769.487286951397,904.0169803926154,11673.504267344011
c,1,2015,0.0,7.116521331840793,228.86517582800025,543.6,86.44373833329654,9890.047680645222,866.0254354931376,10756.07311613836
c,1,2016,0.0,6.38444935249001,349.1068644688397,411.0,52.8514312522097,6045.090127146904,819.3427450735395,6864.432872220444
c,1,2017,0.0,6.973412108844943,346.0650397618515,877.6,49.15614363323862,5623.156854757263,1279.794595503935,6902.951450261198
c,1,2018,0.0,7.906170534277758,98.58831694698782,553.8,61.78845040630886,7069.435348368788,722.0829378875743,7791.518286256362
c,1,2019,0.0,4.910347065621756,106.77160564377219,382.6,83.28434698808377,9529.212134499627,577.5662996974777,10106.778434197104
c,1,2020,0.0,8.003255744336153,96.28681068527976,395.2,81.91989424333113,9372.645184700114,581.409960672947,9954.05514537306
c,1,2021,0.0,5.382694748002179,83.92899282411602,342.2,53.03722471634179,6068.40343630967,484.54891228846,6552.95234859813
c,1,2022,0.0,9.185376422497596,82.01858006039562,220.2,44.31687786118621,5070.531798382244,355.7208343440794,5426.252632726324
c,1,2023,0.0,3.16504256606229,110.37760105887821,177.2,77.30835444718379,8846.47751058164,368.05099807212423,9214.528508653764
c,2,2013,0.0,2496.381320020983,2469.8238918404027,5754.749472809174,1180.883695136564,90580.49093392835,11901.838379807125,102482.32931373548
c,2,2014,0.0,2901.685283799246,2867.5361579069995,5228.316714065685,1399.667996982563,107363.02469295716,12397.206152754494,119760.23084571166
c,2,2015,0.0,2598.6511894864207,3222.445362062399,5016.272751744639,1287.8390199104272,98785.8773160037,12125.208323203886,110911.08563920758
c,2,2016,0.0,2362.745711854992,2689.5328834154648,4790.297067509332,1020.4300180179722,78262.85315729857,10863.005680797762,89125.85883809633
c,2,2017,0.0,2489.5427423112646,2465.1937652727984,5001.3351844389645,1171.9399131723526,89903.76347766501,11128.01160519538,101031.77508286039
c,2,2018,0.0,2962.9737585276202,2268.2766925196715,4583.922714048497,1333.4216341204092,102283.97642885408,11148.594799216196,113432.57122807027
c,2,2019,0.0,2491.230214509794,2631.724231361067,4141.166589724834,1329.18097251884,101951.30332250257,10593.302008114533,112544.60533061711
c,2,2020,0.0,2923.455246049682,2239.258628629794,4325.1854305302195,1517.7318867759006,116413.61027947546,11005.631191985596,127419.24147146105
c,2,2021,0.0,2396.4411751594425,2011.8065694706966,4155.642428852429,1208.1693299221968,92668.68874429667,9772.059503404764,102440.74824770143
c,2,2022,0.0,3025.0798653189017,1915.8100421756558,4059.175810666071,1138.519215298885,87324.0512748801,10138.584933459515,97462.63620833961
c,2,2023,0.0,2052.2140030360483,2468.263856332436,3440.8495275937034,1592.3152301458615,122139.5787216523,9553.64261710805,131693.22133876034
c,3,2013,0.0,36.65655726188181,383.31115389538166,6.849399999999999,118.65040745069366,3295.6009086998174,545.4675186079571,3841.0684273077745
c,3,2014,0.0,46.514525384102164,365.0121724596366,1.7641,197.09134323689844,5474.968525331638,610.3821410806372,6085.350666412276
c,3,2015,0.0,38.501409141594316,443.4287466058694,0.4531,190.86170638422345,5301.527037228676,673.2449621316871,5974.771999360363
c,3,2016,0.0,37.75361677770864,373.96929084066335,2.2977,117.30308554371412,3258.668263697523,531.3236931620861,3789.9919568596088
c,3,2017,0.0,33.749076440694814,356.2910785782775,1.3271,121.94471211786623,3387.266085858188,513.3119671368386,3900.5780529950266
c,3,2018,0.0,43.86889099960025,357.11822723031366,1.2374,127.26368661612551,3535.0186689469297,529.4882048460394,4064.506873792969
c,3,2019,0.0,34.15524753197221,374.83490246908,1.8119,176.11462734819278,4893.144485059595,586.916677349245,5480.061162408841
c,3,2020,0.0,42.17440317835871,316.62304576446604,0.0,151.22342352625026,4201.410507962134,510.020872469075,4711.431380431209
c,3,2021,0.0,33.65682836408205,304.9285362881644,0.19,113.47933714284592,3151.748089154582,452.2547017950924,3604.0027909496744
c,3,2022,0.0,90.661460347484,320.97171570014035,0.0007,80.94589040973307,2247.6226155831414,492.57976645735744,2740.202382040499
c,3,2023,0.0,11.60627825704769,351.7079828865577,0.0005,166.89872106349438,4636.360870321716,530.2134822070998,5166.574352528816
c,4,2013,0.0,90.35636665139522,151.9702,0.0,49.6403,1067.178918081091,291.96686665139526,1359.1457847324864
c,4,2014,0.2026,130.60804772715016,165.7625,0.0,86.6197,1862.3700660595998,383.19284772715014,2245.56291378675
